run_id,show,theatre,opening_date,closing_date,date_source,is_revival,revival_rank,genre,based_on,lead_cast,title_ambiguous,n_weeks_observed
pippin-run1,Pippin,Music Box Theatre,2013-03-24,2015-01-04,week_range,False,1,,,,,94
pirates-the-penzance-musical-run1,Pirates! The Penzance Musical,Todd Haimes Theatre,2025-04-06,2025-07-27,week_range,False,1,,,,,17
play-on-run1,Play On!,Brooks Atkinson Theatre,1997-03-09,1997-05-11,week_range,False,1,,,,,10
plaza-suite-run1,Plaza Suite,Hudson Theatre,2022-02-27,2022-07-10,week_range,False,1,,,,,20
porgy-and-bess-run1,Porgy and Bess,Richard Rodgers Theatre,2011-12-18,2012-09-23,week_range,False,1,,,,,41
prayer-for-the-french-republic-run1,Prayer For The French Republic,Samuel J. Friedman Theatre,2023-12-24,2024-03-03,week_range,False,1,,,,,11
precious-sons-run1,Precious Sons,Longacre Theatre,1986-03-02,1986-05-11,week_range,False,1,,,,,11
prelude-to-a-kiss-run1,Prelude to a Kiss,Helen Hayes Theatre,1990-04-29,1991-05-19,week_range,True,1,,,,,56
prelude-to-a-kiss-run2,Prelude to a Kiss,American Airlines Theatre,2007-02-18,2007-04-29,week_range,True,2,,,,,11
present-laughter-run1,Present Laughter,Walter Kerr Theatre,1996-10-27,1997-04-20,week_range,True,1,,,,,26
present-laughter-run2,Present Laughter,American Airlines Theatre,2010-01-03,2010-03-21,week_range,True,2,,,,,12
present-laughter-run3,Present Laughter,St. James Theatre,2017-03-12,2017-07-02,week_range,True,3,,,,,17
pretty-woman-the-musical-run1,Pretty Woman: The Musical,Nederlander Theatre,2018-07-22,2019-08-18,week_range,False,1,,,,,57
prima-facie-run1,Prima Facie,John Golden Theatre,2023-04-16,2023-07-02,week_range,False,1,,,,,12
primo-run1,Primo,Music Box Theatre,2005-07-10,2005-08-14,week_range,False,1,,,,,6
prince-of-broadway-run1,Prince of Broadway,Samuel J. Friedman Theatre,2017-08-06,2017-10-29,week_range,False,1,,,,,13
prince-of-central-park-run1,Prince of Central Park,Belasco Theatre,1989-10-29,1989-11-12,week_range,False,1,,,,,3
priscilla-queen-of-the-desert-run1,Priscilla Queen of the Desert,Palace Theatre,2011-03-06,2012-06-24,week_range,False,1,,,,,69
