show,theatre,opening_date,running_time_minutes,source,source_url,status
Grey House,Lyceum Theatre,,,,,not_found
The Sign in Sidney Brustein's Window,James Earl Jones Theatre,05-May-23,,,,not_found
Once Upon A One More Time,Marquis Theatre,24-Jun-23,,,,not_found
Here Lies Love,Broadway Theatre,,,,,not_found
Just For Us,Hudson Theatre,,,,,not_found
Back To The Future,Winter Garden Theatre,,116,wikipedia,https://en.wikipedia.org/wiki/Back_to_the_Future,ok
The Cottage,Hayes Theater,26-Jul-23,,,,not_found
The Shark is Broken,John Golden Theatre,14-Aug-23,,,,not_found
El Mago Pop,Ethel Barrymore Theatre,,,,,not_found
Purlie Victorious,Music Box Theatre,12-Oct-23,,,,not_found
Gutenberg! The Musical!,James Earl Jones Theatre,16-Oct-23,,,,not_found
Jaja’s African Hair Braiding,Samuel J. Friedman Theatre,,,,,not_found
Melissa Etheridge: My Window,Circle in the Square Theatre,,,,,not_found
Merrily We Roll Along,Hudson Theatre,,,,,not_found
I Need That,American Airlines Theatre,,,,,not_found
Harmony,Ethel Barrymore Theatre,17-Jan-24,,,,not_found
Spamalot,St. James Theatre,,,,,not_found
How to Dance in Ohio,Belasco Theatre,08-Jan-24,89,wikipedia,https://en.wikipedia.org/wiki/How_to_Dance_in_Ohio,ok
Appropriate,Belasco Theatre,15-Apr-24,,,,not_found
Prayer For The French Republic,Samuel J. Friedman Theatre,17-Jan-24,,,,not_found
Days Of Wine And Roses,Studio 54,01-Feb-24,,,,not_found
Doubt,Todd Haimes Theatre,06-Mar-24,,,,not_found
The Notebook,Gerald Schoenfeld Theatre,,123,wikipedia,https://en.wikipedia.org/wiki/The_Notebook,ok
Water For Elephants,Imperial Theatre,30-Oct-24,,,,not_found
An Enemy of the People,Circle in the Square Theatre,27-Mar-24,,,,not_found
The Who's Tommy,Nederlander Theatre,,,,,not_found
The Outsiders,Bernard B. Jacobs Theatre,,,,,not_found
Lempicka,Longacre Theatre,15-Apr-24,,,,not_found
Hell's Kitchen,Sam S. Shubert Theatre,,,,,not_found
Suffs,Music Box Theatre,,,,,not_found
The Great Gatsby,Broadway Theatre,,,,,not_found
The Heart of Rock and Roll,James Earl Jones Theatre,24-Apr-24,,,,not_found
The Wiz,Marquis Theatre,18-Apr-24,,,,not_found
Cabaret,August Wilson Theatre,,,,,not_found
Mary Jane,Samuel J. Friedman Theatre,25-Apr-24,,,,not_found
Mother Play,Hayes Theater,29-Apr-24,,,,not_found
Patriots,Ethel Barrymore Theatre,01-May-24,,,,not_found
Stereophonic,John Golden Theatre,,,,,not_found
Uncle Vanya,Vivian Beaumont Theater,25-Apr-24,,,,not_found
Illinoise,St. James Theatre,10-May-24,,,,not_found
Home,Todd Haimes Theatre,,,,,not_found
Ben Platt: Live at the Palace,Palace Theatre,29-May-24,,,,not_found
"Oh, Mary!",Lyceum Theatre,,,,,not_found
JOB,Helen Hayes Theatre,05-Aug-24,,,,not_found
Once Upon a Mattress,Hudson Theatre,14-Aug-24,,,,not_found
