week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,genre,cast,creative_team,first_preview,opening_date,closing_date,run_number,is_revival,tony_nominations,tony_wins,has_pulitzer,has_drama_desk_win,awards_detail
2017-07-30,10.0,31904722.8,Anastasia,Broadhurst Theatre,1107178.1,1144891,121.12,350,9141,1143,0.9997,8,0,,,,,,,1,0,,,,,
2017-08-06,11.0,31424598.87,Anastasia,Broadhurst Theatre,1075565.9,1144891,118.69,350,9062,1143,0.991,8,0,,,,,,,1,0,,,,,
2017-08-13,12.0,30312333.55,Anastasia,Broadhurst Theatre,1026152.2,1144891,116.58,350,8802,1143,0.9626,8,0,,,,,,,1,0,,,,,
2017-08-20,13.0,28674785.82,Anastasia,Broadhurst Theatre,946515.3,1144891,112.23,350,8434,1143,0.9224,8,0,,,,,,,1,0,,,,,
2017-08-27,14.0,26578502.98,Anastasia,Broadhurst Theatre,872527.84,1144891,108.92,350,8011,1143,0.8761,8,0,,,,,,,1,0,,,,,
2017-09-03,15.0,27899472.03,Anastasia,Broadhurst Theatre,943919.18,1144891,111.1,350,8496,1143,0.9291,8,0,,,,,,,1,0,,,,,
2017-09-10,16.0,23606589.82,Anastasia,Broadhurst Theatre,809690.9,1135836,95.11,350,8513,1143,0.931,8,0,,,,,,,1,0,,,,,
2017-09-17,17.0,26613186.99,Anastasia,Broadhurst Theatre,868775.9,1135836,96.32,350,9020,1143,0.9864,8,0,,,,,,,1,0,,,,,
2017-09-24,18.0,23991938.61,Anastasia,Broadhurst Theatre,784877.82,1135836,103.82,350,7560,1143,0.8268,8,0,,,,,,,1,0,,,,,
2017-10-01,19.0,23206323.74,Anastasia,Broadhurst Theatre,822992.84,1175796,104.73,350,7858,1143,0.8594,8,0,,,,,,,1,0,,,,,
2017-10-08,20.0,30239538.42,Anastasia,Broadhurst Theatre,961099,1183397,115.98,350,8287,1143,0.9063,8,0,,,,,,,1,0,,,,,
2017-10-15,21.0,29928495.36,Anastasia,Broadhurst Theatre,934649.3,1175796,107.99,350,8655,1143,0.9465,8,0,,,,,,,1,0,,,,,
2017-10-22,22.0,30630790.04,Anastasia,Broadhurst Theatre,952881.1,1175796,110.07,350,8657,1143,0.9467,8,0,,,,,,,1,0,,,,,
2017-10-29,23.0,28628692.39,Anastasia,Broadhurst Theatre,768548.2,1175796,103.44,273,7430,1143,0.8126,8,0,,,,,,,1,0,,,,,
2017-11-05,24.0,27265631.87,Anastasia,Broadhurst Theatre,827869,1145332,100.06,273,8274,1143,0.9049,8,0,,,,,,,1,0,,,,,
2017-11-12,25.0,32477412.57,Anastasia,Broadhurst Theatre,929511.2,1145332,110.2,273,8435,1143,0.9225,8,0,,,,,,,1,0,,,,,
2017-11-19,26.0,31147315.59,Anastasia,Broadhurst Theatre,867210.5,1093588,109.44,273,7924,1143,0.8666,8,0,,,,,,,1,0,,,,,
2017-11-26,27.0,39079347.02,Anastasia,Broadhurst Theatre,1245372.3,1105421,138.88,350,8967,1143,0.9806,8,0,,,,,,,1,0,,,,,
2017-12-03,28.0,29983150.22,Anastasia,Broadhurst Theatre,951114.7,1093588,116.39,350,8172,1143,0.8937,8,0,,,,,,,1,0,,,,,
2017-12-10,29.0,35260250.63,Anastasia,Broadhurst Theatre,1045638.58,1093588,119.28,350,8766,1143,0.9587,8,0,,,,,,,1,0,,,,,
2017-12-17,30.0,34359420.67,Anastasia,Broadhurst Theatre,1058320.34,1093588,119.64,350,8846,1143,0.9674,8,0,,,,,,,1,0,,,,,
2017-12-24,31.0,35795927.3,Anastasia,Broadhurst Theatre,1232248,1093588,135.59,350,9088,1143,0.9939,8,0,,,,,,,1,0,,,,,
2017-12-31,32.0,50354028.55,Anastasia,Broadhurst Theatre,1823737.4,1224370,176.87,350,10311,1143,1.0023,9,0,,,,,,,1,0,,,,,
2018-01-07,33.0,32207429.53,Anastasia,Broadhurst Theatre,1032519.4,962806,128.53,298,8033,1143,1.004,7,0,,,,,,,1,0,,,,,
2018-01-14,34.0,32947325.27,Anastasia,Broadhurst Theatre,1016708.8,1093588,112.72,298,9020,1143,0.9864,8,0,,,,,,,1,0,,,,,
2018-01-21,35.0,27685184.24,Anastasia,Broadhurst Theatre,902693.5,1093588,99.84,273,9041,1143,0.9887,8,0,,,,,,,1,0,,,,,
2018-01-28,36.0,27522164.93,Anastasia,Broadhurst Theatre,935310.4,1093588,103.05,273,9076,1143,0.9926,8,0,,,,,,,1,0,,,,,
2018-02-04,37.0,24869631.68,Anastasia,Broadhurst Theatre,809926.76,1093588,91.25,273,8876,1143,0.9707,8,0,,,,,,,1,0,,,,,
2018-02-11,38.0,22018577.15,Anastasia,Broadhurst Theatre,740820.2,1093588,95.71,273,7740,1143,0.8465,8,0,,,,,,,1,0,,,,,
2018-02-18,39.0,26335055.74,Anastasia,Broadhurst Theatre,1017255,1105421,112.94,350,9007,1143,0.985,8,0,,,,,,,1,0,,,,,
2018-02-25,40.0,27049672.63,Anastasia,Broadhurst Theatre,951561,1093588,105.76,273,8997,1143,0.9839,8,0,,,,,,,1,0,,,,,
2018-03-04,41.0,26316392.79,Anastasia,Broadhurst Theatre,718265.5,1093588,92.9,273,7732,1143,0.8456,8,0,,,,,,,1,0,,,,,
2018-03-11,42.0,29425481.36,Anastasia,Broadhurst Theatre,852358.64,1093588,102.57,273,8310,1143,0.9088,8,0,,,,,,,1,0,,,,,
2018-03-18,43.0,31954759.69,Anastasia,Broadhurst Theatre,999516,1093588,108.92,273,9177,1143,1.0036,8,0,,,,,,,1,0,,,,,
2018-03-25,44.0,35414660.27,Anastasia,Broadhurst Theatre,918633.34,1093588,110.11,348,8343,1143,0.9124,8,0,,,,,,,1,0,,,,,
2018-04-01,45.0,42016688.35,Anastasia,Broadhurst Theatre,1075859.3,1093588,116.27,348,9253,1143,1.0119,8,0,,,,,,,1,0,,,,,
2018-04-08,46.0,42596195.27,Anastasia,Broadhurst Theatre,1124558.92,1093588,125.4,350,8968,1143,0.9808,8,0,,,,,,,1,0,,,,,
2018-04-15,47.0,37729078.44,Anastasia,Broadhurst Theatre,824664.52,1093588,102.15,273,8073,1143,0.8829,8,0,,,,,,,1,0,,,,,
2018-04-22,48.0,37506237.02,Anastasia,Broadhurst Theatre,839753.54,1093588,99.79,273,8415,1143,0.9203,8,0,,,,,,,1,0,,,,,
2018-04-29,49.0,35335326.58,Anastasia,Broadhurst Theatre,791182.44,1093588,98.26,273,8052,1143,0.8806,8,0,,,,,,,1,0,,,,,
2018-05-06,50.0,36994026.79,Anastasia,Broadhurst Theatre,683990,1093588,90.91,273,7524,1143,0.8228,8,0,,,,,,,1,0,,,,,
2018-05-13,51.0,38621280.34,Anastasia,Broadhurst Theatre,806434.04,1093588,96.21,273,8382,1143,0.9167,8,0,,,,,,,1,0,,,,,
2018-05-20,52.0,38813251.1,Anastasia,Broadhurst Theatre,820490.54,1093588,99.27,273,8265,1143,0.9039,8,0,,,,,,,1,0,,,,,
2018-05-27,53.0,39431767.13,Anastasia,Broadhurst Theatre,829377.8,1093588,101.48,273,8173,1143,0.8938,8,0,,,,,,,1,0,,,,,
2018-06-03,1.0,37106954.31,Anastasia,Broadhurst Theatre,789629.8,1093588,97.05,273,8136,1143,0.8898,8,0,,,,,,,1,0,,,,,
2018-06-10,2.0,39211500.4,Anastasia,Broadhurst Theatre,877138,1093588,103.27,273,8494,1143,0.9289,8,0,,,,,,,1,0,,,,,
2018-06-17,3.0,39653551.79,Anastasia,Broadhurst Theatre,859771.67,1093588,99.38,273,8651,1143,0.9461,8,0,,,,,,,1,0,,,,,
2018-06-24,4.0,40285883.82,Anastasia,Broadhurst Theatre,847757.66,1093588,100.45,273,8440,1143,0.923,8,0,,,,,,,1,0,,,,,
2018-07-01,5.0,38126488.51,Anastasia,Broadhurst Theatre,788824.2,1105421,99.72,273,7910,1143,0.865,8,0,,,,,,,1,0,,,,,
2018-07-08,6.0,33865379.57,Anastasia,Broadhurst Theatre,764871.9,1105421,95.59,273,8002,1143,0.8751,8,0,,,,,,,1,0,,,,,
2018-07-15,7.0,37330027.69,Anastasia,Broadhurst Theatre,748121.11,1093588,95.58,273,7827,1143,0.856,8,0,,,,,,,1,0,,,,,
2018-07-22,8.0,36855921.43,Anastasia,Broadhurst Theatre,818003.61,1093588,94.71,273,8637,1143,0.9446,8,0,,,,,,,1,0,,,,,
2018-07-29,9.0,39633285.25,Anastasia,Broadhurst Theatre,859192,1093588,98.44,273,8728,1143,0.9545,8,0,,,,,,,1,0,,,,,
2018-08-05,10.0,36391384.98,Anastasia,Broadhurst Theatre,827414.5,1093588,95.57,273,8658,1143,0.9469,8,0,,,,,,,1,0,,,,,
2018-08-12,11.0,37289893.41,Anastasia,Broadhurst Theatre,789919.1,1093588,94.81,273,8332,1143,0.9112,8,0,,,,,,,1,0,,,,,
2018-08-19,12.0,35465011.8,Anastasia,Broadhurst Theatre,697959.9,1093588,88.02,273,7930,1143,0.8672,8,0,,,,,,,1,0,,,,,
2018-08-26,13.0,33662782.2,Anastasia,Broadhurst Theatre,730124.44,1093588,85.32,273,8557,1143,0.9358,8,0,,,,,,,1,0,,,,,
2018-09-02,14.0,32089527.57,Anastasia,Broadhurst Theatre,707521.3,1105421,89.87,273,7873,1143,0.861,8,0,,,,,,,1,0,,,,,
2018-09-09,15.0,29524979.46,Anastasia,Broadhurst Theatre,743501.12,1093588,90.95,273,8175,1143,0.894,8,0,,,,,,,1,0,,,,,
2018-09-16,16.0,28771784.4,Anastasia,Broadhurst Theatre,729724.64,1093588,86.92,273,8395,1143,0.9181,8,0,,,,,,,1,0,,,,,
2018-09-23,17.0,26309335.52,Anastasia,Broadhurst Theatre,585766.24,1093588,86.73,273,6754,1143,0.7386,8,0,,,,,,,1,0,,,,,
2018-09-30,18.0,29521717.1,Anastasia,Broadhurst Theatre,737202,1093588,90.16,273,8177,1143,0.8942,8,0,,,,,,,1,0,,,,,
2018-10-07,19.0,33381110.92,Anastasia,Broadhurst Theatre,677187.6,1105421,100.79,350,6719,1143,0.7348,8,0,,,,,,,1,0,,,,,
2018-10-14,20.0,33387818.47,Anastasia,Broadhurst Theatre,742381.8,1093588,94.41,273,7863,1143,0.8599,8,0,,,,,,,1,0,,,,,
2018-10-21,21.0,34344692.7,Anastasia,Broadhurst Theatre,770316.8,1093588,93.53,273,8236,1143,0.9007,8,0,,,,,,,1,0,,,,,
2018-10-28,22.0,33133984.13,Anastasia,Broadhurst Theatre,619115.31,1093588,88.14,273,7024,1143,0.7682,8,0,,,,,,,1,0,,,,,
2018-11-04,23.0,33078711.53,Anastasia,Broadhurst Theatre,746074.92,1093588,92.02,273,8108,1143,0.8867,8,0,,,,,,,1,0,,,,,
2018-11-11,24.0,37230401.33,Anastasia,Broadhurst Theatre,760696.6,1093588,97.28,273,7820,1143,0.8552,8,0,,,,,,,1,0,,,,,
2018-11-18,25.0,36501888.28,Anastasia,Broadhurst Theatre,603914.8,1093588,89.94,273,6715,1143,0.7344,8,0,,,,,,,1,0,,,,,
2018-11-25,26.0,43043393.13,Anastasia,Broadhurst Theatre,879132.7,1105421,114.6,350,7671,1143,0.8389,8,0,,,,,,,1,0,,,,,
2018-12-02,27.0,37805785.34,Anastasia,Broadhurst Theatre,652184.3,1093588,96.06,273,6789,1143,0.7425,8,0,,,,,,,1,0,,,,,
2018-12-09,28.0,40149570.28,Anastasia,Broadhurst Theatre,731978.29,1093588,98.48,273,7433,1143,0.8129,8,0,,,,,,,1,0,,,,,
2018-12-16,29.0,39865469.32,Anastasia,Broadhurst Theatre,705610.3,1093588,100.06,273,7052,1143,0.7712,8,0,,,,,,,1,0,,,,,
2018-12-23,30.0,41012369.65,Anastasia,Broadhurst Theatre,854240.6,1093588,108.32,350,7886,1143,0.8624,8,0,,,,,,,1,0,,,,,
2018-12-30,31.0,57807272.33,Anastasia,Broadhurst Theatre,1339777.2,1236203,131.91,350,10157,1143,0.9874,9,0,,,,,,,1,0,,,,,
2019-01-06,32.0,37530273.1,Anastasia,Broadhurst Theatre,785201.1,962806,107.12,273,7330,1143,0.9161,7,0,,,,,,,1,0,,,,,
2019-01-13,33.0,31937248.07,Anastasia,Broadhurst Theatre,645727.7,1093588,87.78,273,7356,1143,0.8045,8,0,,,,,,,1,0,,,,,
2019-01-20,34.0,31699189.77,Anastasia,Broadhurst Theatre,664184,1105421,86.4,297,7687,1143,0.8407,8,0,,,,,,,1,0,,,,,
2019-01-27,35.0,29982380.3,Anastasia,Broadhurst Theatre,585391.46,1093588,75.56,297,7747,1143,0.8472,8,0,,,,,,,1,0,,,,,
2019-02-03,36.0,26512354.56,Anastasia,Broadhurst Theatre,508700,1093588,69.15,297,7357,1143,0.8046,8,0,,,,,,,1,0,,,,,
2019-02-10,37.0,27661257.88,Anastasia,Broadhurst Theatre,545061.3,1093588,69.1,297,7888,1143,0.8626,8,0,,,,,,,1,0,,,,,
2019-02-17,38.0,30511551.35,Anastasia,Broadhurst Theatre,722606.66,1105421,90.5,297,7985,1143,0.8733,8,0,,,,,,,1,0,,,,,
2019-02-24,39.0,29863192.12,Anastasia,Broadhurst Theatre,638469.7,1093588,84.28,297,7576,1143,0.8285,8,0,,,,,,,1,0,,,,,
2019-03-03,40.0,27159271.45,Anastasia,Broadhurst Theatre,557479.8,1093588,79.41,297,7020,1143,0.7677,8,0,,,,,,,1,0,,,,,
2019-03-10,41.0,30252790.13,Anastasia,Broadhurst Theatre,681937.9,1093588,90.94,297,7499,1143,0.8201,8,0,,,,,,,1,0,,,,,
2019-03-17,42.0,32944572.64,Anastasia,Broadhurst Theatre,837802.9,1093588,92.52,297,9055,1143,0.9903,8,0,,,,,,,1,0,,,,,
2019-03-24,43.0,34204242.15,Anastasia,Broadhurst Theatre,920068.07,1093588,102.82,348,8948,1143,0.9786,8,0,,,,,,,1,0,,,,,
2019-03-31,44.0,36822964.51,Anastasia,Broadhurst Theatre,1012316.3,1093588,115.77,348,8744,1143,0.9563,8,0,,,,,,,1,0,,,,,
1991-10-13,19.0,5368892.0,Andre Heller's Wonderhouse,Broadhurst Theatre,27462,,19.76,,1390,1186,0.293,0,4,,,,,,,1,0,,,,,
1991-10-20,20.0,5420195.0,Andre Heller's Wonderhouse,Broadhurst Theatre,35777,,16.61,,2154,1186,0.227,1,7,,,,,,,1,0,,,,,
1991-10-27,21.0,5459285.0,Andre Heller's Wonderhouse,Broadhurst Theatre,32792,,18.27,,1795,1186,0.1892,8,0,,,,,,,1,0,,,,,
2018-02-25,40.0,27049672.63,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,322033.5,618435,77.23,247,4170,1444,0.9626,0,3,,,,,,,1,0,,,,,
2018-03-04,41.0,26316392.79,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,631275.5,1013455,94.07,247,6711,1422,0.9439,0,5,,,,,,,1,0,,,,,
2018-03-11,42.0,29425481.36,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,994784.5,1432216,103.55,247,9607,1422,0.9651,0,7,,,,,,,1,0,,,,,
2018-03-18,43.0,31954759.69,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,794893,1229525,98.27,247,8089,1422,0.9481,0,6,,,,,,,1,0,,,,,
2018-03-25,44.0,35414660.27,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,549002.5,1418837,56.83,247,9660,1422,0.9705,2,5,,,,,,,1,0,,,,,
2018-04-01,45.0,42016688.35,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,933031,1362036,97.24,247,9595,1422,0.9639,7,0,,,,,,,1,0,,,,,
2018-04-08,46.0,42596195.27,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,981172,1362036,107.24,247,9149,1422,0.9191,7,0,,,,,,,1,0,,,,,
2018-04-15,47.0,37729078.44,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,924408,1362036,107.9,247,8567,1422,0.8607,7,0,,,,,,,1,0,,,,,
2018-04-22,48.0,37506237.02,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,928535,1362036,108.74,247,8539,1422,0.8578,7,0,,,,,,,1,0,,,,,
2018-04-29,49.0,35335326.58,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,921368,1362036,107.84,247,8544,1422,0.8583,7,0,,,,,,,1,0,,,,,
2018-05-06,50.0,36994026.79,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,817186.5,1362036,98.52,247,8295,1422,0.8333,7,0,,,,,,,1,0,,,,,
2018-05-13,51.0,38621280.34,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,927965.5,1362036,102.15,247,9084,1422,0.9126,7,0,,,,,,,1,0,,,,,
2018-05-20,52.0,38813251.1,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,924351.5,1362036,101.99,247,9063,1422,0.9105,7,0,,,,,,,1,0,,,,,
2018-05-27,53.0,39431767.13,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,878368,1362036,98.6,247,8908,1422,0.8949,7,0,,,,,,,1,0,,,,,
2018-06-03,1.0,37106954.31,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,829637,1362036,98.57,247,8417,1422,0.8456,7,0,,,,,,,1,0,,,,,
2018-06-10,2.0,39211500.4,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,917002.5,1362036,103.89,247,8827,1422,0.8868,7,0,,,,,,,1,0,,,,,
2018-06-17,3.0,39653551.79,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,994107.5,1362036,112.98,247,8799,1422,0.884,7,0,,,,,,,1,0,,,,,
2018-06-24,4.0,40285883.82,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,1097637.5,1362036,118.51,247,9262,1422,0.9305,7,0,,,,,,,1,0,,,,,
2018-07-01,5.0,38126488.51,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,1139835,1362036,121.86,247,9354,1422,0.9397,7,0,,,,,,,1,0,,,,,
2018-07-08,6.0,33865379.57,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,912837.5,1148965,108.22,247,8435,1422,0.9886,6,0,,,,,,,1,0,,,,,
2018-07-15,7.0,37330027.69,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,1273539.5,1362036,128.87,247,9882,1422,0.9928,7,0,,,,,,,1,0,,,,,
2013-02-24,39.0,18315911.0,Ann,Vivian Beaumont Theater,262436,926975,54.38,175,4826,1113,0.6194,0,7,,,,,,,1,0,,,,,
2013-03-03,40.0,17192696.0,Ann,Vivian Beaumont Theater,294156,1059400,52.19,175,5636,1113,0.633,0,8,,,,,,,1,0,,,,,
2013-03-10,41.0,18085585.0,Ann,Vivian Beaumont Theater,337687,1059400,51.67,175,6536,1113,0.7341,4,4,,,,,,,1,0,,,,,
2013-03-17,42.0,20821014.0,Ann,Vivian Beaumont Theater,376134,1059400,63.5,175,5923,1113,0.6652,8,0,,,,,,,1,0,,,,,
2013-03-24,43.0,21709084.0,Ann,Vivian Beaumont Theater,363340,1059400,66.06,175,5500,1113,0.6177,8,0,,,,,,,1,0,,,,,
2013-03-31,44.0,28531069.0,Ann,Vivian Beaumont Theater,286869,1059400,66.61,175,4307,1113,0.4837,8,0,,,,,,,1,0,,,,,
2013-04-07,45.0,25899689.0,Ann,Vivian Beaumont Theater,308202,1059400,70.08,175,4398,1113,0.4939,8,0,,,,,,,1,0,,,,,
2013-04-14,46.0,23143560.0,Ann,Vivian Beaumont Theater,315275,1059400,71.62,175,4402,1113,0.4944,8,0,,,,,,,1,0,,,,,
2013-04-21,47.0,24719511.0,Ann,Vivian Beaumont Theater,266291,1059400,73.74,175,3611,1113,0.4055,8,0,,,,,,,1,0,,,,,
2013-04-28,48.0,24616128.0,Ann,Vivian Beaumont Theater,258424,1059400,71.05,175,3637,1113,0.4085,8,0,,,,,,,1,0,,,,,
2013-05-05,49.0,24611043.0,Ann,Vivian Beaumont Theater,261380,1059400,73.65,175,3549,1113,0.3986,8,0,,,,,,,1,0,,,,,
2013-05-12,50.0,24246233.0,Ann,Vivian Beaumont Theater,241037,1059400,69.97,175,3445,1113,0.3869,8,0,,,,,,,1,0,,,,,
2013-05-19,51.0,24657288.0,Ann,Vivian Beaumont Theater,247041,1059400,70.02,175,3528,1113,0.3962,8,0,,,,,,,1,0,,,,,
2013-05-26,52.0,25537731.0,Ann,Vivian Beaumont Theater,240339,1059400,54.9,175,4378,1113,0.4917,8,0,,,,,,,1,0,,,,,
2013-06-02,1.0,23307202.0,Ann,Vivian Beaumont Theater,195459,1059400,53.11,175,3680,1113,0.4133,8,0,,,,,,,1,0,,,,,
2013-06-09,2.0,23361634.0,Ann,Vivian Beaumont Theater,227618,1059400,57,175,3993,1113,0.4485,8,0,,,,,,,1,0,,,,,
2013-06-16,3.0,24770173.0,Ann,Vivian Beaumont Theater,185623,1059400,56.2,175,3303,1113,0.371,8,0,,,,,,,1,0,,,,,
2013-06-23,4.0,24116853.0,Ann,Vivian Beaumont Theater,236292,1059400,59.47,175,3973,1113,0.4462,8,0,,,,,,,1,0,,,,,
2013-06-30,5.0,24997387.0,Ann,Vivian Beaumont Theater,347934,1059400,64.02,175,5435,1113,0.6104,8,0,,,,,,,1,0,,,,,
1992-12-27,30.0,6921665.0,Anna Christie,Criterion Center Stage Right,63191,,25.33,,2495,499,1,0,5,,,,,,,1,0,,,,,
1993-01-03,31.0,8832099.0,Anna Christie,Criterion Center Stage Right,146869,,37.09,,3960,499,0.992,0,8,,,,,,,1,0,,,,,
1993-01-10,32.0,5560737.0,Anna Christie,Criterion Center Stage Right,115639,,28.97,,3992,499,1,0,8,,,,,,,1,0,,,,,
1993-01-17,33.0,5008899.0,Anna Christie,Criterion Center Stage Right,108871,,30.3,,3593,499,0.9001,5,3,,,,,,,1,0,,,,,
1993-01-24,34.0,4749993.0,Anna Christie,Criterion Center Stage Right,137443,,34.43,,3992,499,1,8,0,,,,,,,1,0,,,,,
1993-01-31,35.0,4579486.0,Anna Christie,Criterion Center Stage Right,132336,,33.15,,3992,499,1,8,0,,,,,,,1,0,,,,,
1993-02-07,36.0,4324865.0,Anna Christie,Criterion Center Stage Right,107387,,26.9,,3992,499,1,8,0,,,,,,,1,0,,,,,
1993-02-14,37.0,5068415.0,Anna Christie,Criterion Center Stage Right,137593,,34.47,,3992,499,1,8,0,,,,,,,1,0,,,,,
1993-02-21,38.0,5414542.0,Anna Christie,Criterion Center Stage Right,108855,,27.27,,3992,499,1,8,0,,,,,,,1,0,,,,,
1993-02-28,39.0,4957000.0,Anna Christie,Criterion Center Stage Right,80794,,20.24,,3992,499,1,8,0,,,,,,,1,0,,,,,
1992-08-16,11.0,6954087.0,Anna Karenina,Circle in the Square Theatre,73406,,15.98,,4595,605,0.9494,0,8,,,,,,,1,0,,,,,
1992-08-23,12.0,6706167.0,Anna Karenina,Circle in the Square Theatre,74435,,16.25,,4582,605,0.9467,0,8,,,,,,,1,0,,,,,
1992-08-30,13.0,6470462.0,Anna Karenina,Circle in the Square Theatre,73879,,19.62,,3766,605,0.7781,6,2,,,,,,,1,0,,,,,
1992-09-06,14.0,6089792.0,Anna Karenina,Circle in the Square Theatre,77431,,19.11,,4051,605,0.837,8,0,,,,,,,1,0,,,,,
1992-09-13,15.0,5864518.0,Anna Karenina,Circle in the Square Theatre,71415,,18.63,,3834,605,0.7921,8,0,,,,,,,1,0,,,,,
1992-09-20,16.0,5803939.0,Anna Karenina,Circle in the Square Theatre,77168,,19.4,,3978,605,0.8219,8,0,,,,,,,1,0,,,,,
1992-09-27,17.0,5642645.0,Anna Karenina,Circle in the Square Theatre,64211,,17.86,,3596,605,0.743,8,0,,,,,,,1,0,,,,,
1992-10-04,18.0,5413747.0,Anna Karenina,Circle in the Square Theatre,57916,,16.58,,3493,605,0.7217,8,0,,,,,,,1,0,,,,,
2003-11-09,24.0,16175586.0,Anna in the Tropics,Royale Theatre,204669,579530,42.16,81.25,4855,1078,0.563,0,8,,,,,,,1,0,,,,,
2003-11-16,25.0,16067032.0,Anna in the Tropics,Royale Theatre,178482,579530,41.47,81.25,4304,1078,0.4991,1,7,,,,,,,1,0,,,,,
2003-11-23,26.0,15104462.0,Anna in the Tropics,Royale Theatre,244846,579530,42.24,81.25,5797,1078,0.6722,8,0,,,,,,,1,0,,,,,
2003-11-30,27.0,18921770.0,Anna in the Tropics,Royale Theatre,184665,579530,55.94,81.25,3301,1078,0.3828,8,0,,,,,,,1,0,,,,,
2003-12-07,28.0,17344266.0,Anna in the Tropics,Royale Theatre,237869,579530,50.7,81.25,4692,1078,0.5441,8,0,,,,,,,1,0,,,,,
2003-12-14,29.0,16838471.0,Anna in the Tropics,Royale Theatre,243420,579530,49.1,81.25,4958,1078,0.5749,8,0,,,,,,,1,0,,,,,
2003-12-21,30.0,15750402.0,Anna in the Tropics,Royale Theatre,202211,579530,44.65,81.25,4529,1078,0.5252,8,0,,,,,,,1,0,,,,,
2003-12-28,31.0,19133149.0,Anna in the Tropics,Royale Theatre,237201,579530,49.45,81.25,4797,1078,0.5562,8,0,,,,,,,1,0,,,,,
2004-01-04,32.0,20449869.0,Anna in the Tropics,Royale Theatre,199156,579530,47.29,81.25,4211,1078,0.4883,8,0,,,,,,,1,0,,,,,
2004-01-11,33.0,14079772.0,Anna in the Tropics,Royale Theatre,167289,579530,46.99,81.25,3560,1078,0.4128,8,0,,,,,,,1,0,,,,,
2004-01-18,34.0,13964707.0,Anna in the Tropics,Royale Theatre,174553,579530,47.06,81.25,3709,1078,0.4301,8,0,,,,,,,1,0,,,,,
2004-01-25,35.0,12494401.0,Anna in the Tropics,Royale Theatre,146943,579530,46.06,81.25,3190,1078,0.3699,8,0,,,,,,,1,0,,,,,
2004-02-01,36.0,11691291.0,Anna in the Tropics,Royale Theatre,139874,579530,42.96,81.25,3256,1078,0.3776,8,0,,,,,,,1,0,,,,,
2004-02-08,37.0,12546807.0,Anna in the Tropics,Royale Theatre,138781,579530,45.34,81.25,3061,1078,0.3549,8,0,,,,,,,1,0,,,,,
2004-02-15,38.0,14755643.0,Anna in the Tropics,Royale Theatre,216087,579530,47.74,81.25,4526,1078,0.5248,8,0,,,,,,,1,0,,,,,
2004-02-22,39.0,15060671.0,Anna in the Tropics,Royale Theatre,199546,579530,42.46,81.25,4700,1078,0.545,8,0,,,,,,,1,0,,,,,
1997-03-16,42.0,8410568.0,Annie,Martin Beck Theatre,262879,,41.45,75,6342,1422,0.892,0,5,,,,,,,1,0,,,,,
1997-03-23,43.0,9448450.0,Annie,Martin Beck Theatre,369529,,38.76,75,9534,1422,0.8381,0,8,,,,,,,1,0,,,,,
1997-03-30,44.0,10449550.0,Annie,Martin Beck Theatre,562323,,50.32,75,11174,1422,0.9822,7,1,,,,,,,1,0,,,,,
1997-04-06,45.0,10597628.0,Annie,Martin Beck Theatre,519859,,53.89,75,9647,1422,0.848,8,0,,,,,,,1,0,,,,,
1997-04-13,46.0,9851864.0,Annie,Martin Beck Theatre,425283,,55.2,75,7704,1422,0.6772,8,0,,,,,,,1,0,,,,,
1997-04-20,47.0,10652401.0,Annie,Martin Beck Theatre,461897,,54.02,75,8551,1422,0.7517,8,0,,,,,,,1,0,,,,,
1997-04-27,48.0,11676890.0,Annie,Martin Beck Theatre,605156,,58.36,75,10370,1422,0.9116,8,0,,,,,,,1,0,,,,,
1997-05-04,49.0,10683718.0,Annie,Martin Beck Theatre,392399,,53.95,75,7274,1422,0.6394,8,0,,,,,,,1,0,,,,,
1997-05-11,50.0,10559836.0,Annie,Martin Beck Theatre,390294,,49.19,75,7934,1422,0.6974,8,0,,,,,,,1,0,,,,,
