week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,genre,cast,creative_team,first_preview,opening_date,closing_date,run_number,is_revival,tony_nominations,tony_wins,has_pulitzer,has_drama_desk_win,awards_detail
1997-08-17,11.0,9690945.0,1776,Gershwin Theatre,150195,259480,43.12,65,3483,499,0.8725,5,3,,,,,,,1,0,,,,,
1997-08-24,12.0,9402211.0,1776,Gershwin Theatre,169771,279440,42.89,65,3958,499,0.9915,8,0,,,,,,,1,0,,,,,
1997-08-31,13.0,9422926.0,1776,Gershwin Theatre,188482,279440,47.21,65,3992,499,1,8,0,,,,,,,1,0,,,,,
1997-09-07,14.0,6868119.0,1776,Gershwin Theatre,169175,279440,42.77,65,3955,499,0.9907,8,0,,,,,,,1,0,,,,,
1997-09-14,15.0,7661776.0,1776,Gershwin Theatre,170616,279440,42.74,65,3992,499,1,8,0,,,,,,,1,0,,,,,
1997-09-21,16.0,8111399.0,1776,Gershwin Theatre,164297,279440,41.9,70,3921,499,0.9822,8,0,,,,,,,1,0,,,,,
1997-09-28,17.0,8391224.0,1776,Gershwin Theatre,181907,279440,47.13,70,3860,499,0.9669,8,0,,,,,,,1,0,,,,,
1997-10-05,18.0,8443229.0,1776,Gershwin Theatre,190666,279440,50.2,70,3798,499,0.9514,8,0,,,,,,,1,0,,,,,
1997-10-12,19.0,9554829.0,1776,Gershwin Theatre,190793,279440,48.39,70,3943,499,0.9877,8,0,,,,,,,1,0,,,,,
1997-10-19,20.0,10541144.0,1776,Gershwin Theatre,186468,279440,47.8,70,3901,499,0.9772,8,0,,,,,,,1,0,,,,,
1997-10-26,21.0,10298932.0,1776,Gershwin Theatre,201666,279440,51.91,70,3885,499,0.9732,8,0,,,,,,,1,0,,,,,
1997-11-02,22.0,9878869.0,1776,Gershwin Theatre,213452,279440,54.69,70,3903,499,0.9777,8,0,,,,,,,1,0,,,,,
1997-11-09,23.0,10358916.0,1776,Gershwin Theatre,216314,279440,55.51,70,3897,499,0.9762,8,0,,,,,,,1,0,,,,,
1997-11-16,24.0,10331822.0,1776,Gershwin Theatre,215808,279440,54.61,70,3952,499,0.99,8,0,,,,,,,1,0,,,,,
1997-12-07,27.0,12097716.0,1776,Gershwin Theatre,363216,869277,32.01,75,11346,1899,0.7468,8,0,,,,,,,1,0,,,,,
1997-12-14,28.0,11970948.0,1776,Gershwin Theatre,362391,869277,30.65,75,11824,1899,0.7783,8,0,,,,,,,1,0,,,,,
1997-12-21,29.0,11001435.0,1776,Gershwin Theatre,381399,869277,30,75,12713,1899,0.8368,8,0,,,,,,,1,0,,,,,
1997-12-28,30.0,14720405.0,1776,Gershwin Theatre,587629,869277,51.57,75,11394,1899,0.75,8,0,,,,,,,1,0,,,,,
1998-01-04,31.0,15776122.0,1776,Gershwin Theatre,537899,869277,48.95,75,10988,1899,0.7233,8,0,,,,,,,1,0,,,,,
1998-01-11,32.0,10698707.0,1776,Gershwin Theatre,366108,869277,32.82,75,11154,1899,0.7342,8,0,,,,,,,1,0,,,,,
1998-01-18,33.0,10981641.0,1776,Gershwin Theatre,421761,869277,31.41,75,13428,1899,0.8839,8,0,,,,,,,1,0,,,,,
1998-01-25,34.0,10512418.0,1776,Gershwin Theatre,350242,869277,33.94,75,10319,1899,0.6792,8,0,,,,,,,1,0,,,,,
1998-02-01,35.0,9635755.0,1776,Gershwin Theatre,375979,869277,34.86,75,10784,1899,0.7098,8,0,,,,,,,1,0,,,,,
1998-02-08,36.0,9453410.0,1776,Gershwin Theatre,282785,869277,35.42,75,7983,1899,0.5255,8,0,,,,,,,1,0,,,,,
1998-02-15,37.0,11349164.0,1776,Gershwin Theatre,492734,869277,40.93,75,12037,1899,0.7923,8,0,,,,,,,1,0,,,,,
1998-02-22,38.0,11801864.0,1776,Gershwin Theatre,415343,869277,40.65,75,10217,1899,0.6725,8,0,,,,,,,1,0,,,,,
1998-03-01,39.0,10449493.0,1776,Gershwin Theatre,346793,869277,36.76,75,9433,1899,0.6209,8,0,,,,,,,1,0,,,,,
1998-03-08,40.0,10691521.0,1776,Gershwin Theatre,361043,869277,39.15,75,9221,1899,0.607,8,0,,,,,,,1,0,,,,,
1998-03-15,41.0,11074724.0,1776,Gershwin Theatre,377388,869277,37.18,75,10149,1899,0.668,8,0,,,,,,,1,0,,,,,
1998-03-22,42.0,11797569.0,1776,Gershwin Theatre,416406,869277,39.89,75,10438,1899,0.6871,8,0,,,,,,,1,0,,,,,
1998-03-29,43.0,12209894.0,1776,Gershwin Theatre,391505,869277,39.26,75,9972,1899,0.6564,8,0,,,,,,,1,0,,,,,
1998-04-05,44.0,11329636.0,1776,Gershwin Theatre,308216,869277,35.35,75,8720,1899,0.574,8,0,,,,,,,1,0,,,,,
1998-04-12,45.0,12264568.0,1776,Gershwin Theatre,305656,869277,37.09,75,8240,1899,0.5424,8,0,,,,,,,1,0,,,,,
1998-04-19,46.0,14165712.0,1776,Gershwin Theatre,427784,869277,39.82,75,10742,1899,0.7071,8,0,,,,,,,1,0,,,,,
1998-04-26,47.0,12863105.0,1776,Gershwin Theatre,352927,869277,37.46,75,9422,1899,0.6202,8,0,,,,,,,1,0,,,,,
